,cat,class,classcat,epsilon,feat,nc,ncx,nx
105,A**A**,AedadC,1,0.5451879537523691,saludHistory,342,184,560
106,A**B**,AedadC,1,1.2343083202015306,saludHistory,342,26,67
107,A*****,AedadC,1,0.8071094753320013,saludHistory,342,210,631
108,BAAA**,AedadC,1,-1.9122802257523717,saludHistory,342,18,82
109,BAAB**,AedadC,1,0.5579447327829673,saludHistory,342,4,10
110,BAA***,AedadC,1,-1.6214141068701804,saludHistory,342,22,92
111,BABA**,AedadC,1,-0.2914014931638873,saludHistory,342,1,4
112,BABB**,AedadC,1,1.4408649077656157,saludHistory,342,4,7
113,BAB***,AedadC,1,0.9736908563944051,saludHistory,342,5,11
114,BA*A**,AedadC,1,-1.9301243555850092,saludHistory,342,19,86
115,BA*B**,AedadC,1,1.3525111625149402,saludHistory,342,8,17
116,BA****,AedadC,1,-1.2141907774508642,saludHistory,342,27,103
117,BBAA**,AedadC,1,0.11971682079643829,saludHistory,342,57,177
118,BBAB**,AedadC,1,1.8349814487951166,saludHistory,342,4,6
119,BBA***,AedadC,1,0.4500007229525606,saludHistory,342,61,183
120,BBBA**,AedadC,1,0.29378861914546955,saludHistory,342,26,78
121,BBBB**,AedadC,1,-1.8291849656658719,saludHistory,342,17,77
122,BBB***,AedadC,1,-1.0808410137141597,saludHistory,342,43,155
123,BB*A**,AedadC,1,0.2622251307645434,saludHistory,342,83,255
124,BB*B**,AedadC,1,-1.268464842453248,saludHistory,342,21,83
125,BB****,AedadC,1,-0.40081342472188985,saludHistory,342,104,338
126,B*AA**,AedadC,1,-0.977023503758606,saludHistory,342,75,259
127,B*AB**,AedadC,1,1.5647861002773118,saludHistory,342,8,16
128,B*A***,AedadC,1,-0.5707344920917524,saludHistory,342,83,275
129,B*BA**,AedadC,1,0.22217363618699731,saludHistory,342,27,82
130,B*BB**,AedadC,1,-1.3353694000466703,saludHistory,342,21,84
131,B*B***,AedadC,1,-0.793768744449002,saludHistory,342,48,166
132,B**A**,AedadC,1,-0.7425376249439676,saludHistory,342,102,341
133,B**B**,AedadC,1,-0.5979718311774023,saludHistory,342,29,100
134,B*****,AedadC,1,-0.9376931283610281,saludHistory,342,131,441
135,*AAA**,AedadC,1,-0.4284187620135141,saludHistory,342,167,540
136,*AAB**,AedadC,1,1.2137941048211651,saludHistory,342,13,31
137,*AA***,AedadC,1,-0.21893153986468986,saludHistory,342,180,574
138,*ABA**,AedadC,1,-0.6813921818663805,saludHistory,342,11,41
139,*ABB**,AedadC,1,0.8280757182920526,saludHistory,342,12,31
140,*AB***,AedadC,1,0.02916717409947934,saludHistory,342,23,72
141,*A*A**,AedadC,1,-0.5940352587760477,saludHistory,342,178,581
142,*A*B**,AedadC,1,1.443819998223532,saludHistory,342,25,62
143,*A****,AedadC,1,-0.22331694212267922,saludHistory,342,203,647
144,*BAA**,AedadC,1,0.7399187574069159,saludHistory,342,78,229
145,*BAB**,AedadC,1,0.5579447327829673,saludHistory,342,4,10
146,*BA***,AedadC,1,0.8384018941773222,saludHistory,342,82,239
147,*BBA**,AedadC,1,0.32079614512607263,saludHistory,342,31,93
148,*BBB**,AedadC,1,-0.9243547326123237,saludHistory,342,26,95
149,*BB***,AedadC,1,-0.43145766787962636,saludHistory,342,57,188
150,*B*A**,AedadC,1,0.7963867090996317,saludHistory,342,109,322
151,*B*B**,AedadC,1,-0.7070512469332165,saludHistory,342,30,105
152,*B****,AedadC,1,0.34095705790509523,saludHistory,342,139,427
153,**AA**,AedadC,1,0.04476783908828491,saludHistory,342,245,769
154,**AB**,AedadC,1,1.3309902180098092,saludHistory,342,17,41
155,**A***,AedadC,1,0.27061726088007093,saludHistory,342,262,813
156,**BA**,AedadC,1,-0.10965883646228952,saludHistory,342,42,134
157,**BB**,AedadC,1,-0.39189095024585985,saludHistory,342,38,126
158,**B***,AedadC,1,-0.35153662839824773,saludHistory,342,80,260
159,***A**,AedadC,1,-0.0009298718007910165,saludHistory,342,287,903
160,***B**,AedadC,1,0.3190883869914099,saludHistory,342,55,167
161,******,AedadC,1,0.0,saludHistory,342,342,1076
162,AAAA**,AedadC,2,-1.4092392549588995,saludHistory,485,191,457
163,AAAB**,AedadC,2,-0.20420363505841357,saludHistory,485,9,21
164,AAA***,AedadC,2,-1.5402150586683323,saludHistory,485,200,481
165,AABA**,AedadC,2,0.10655258811926227,saludHistory,485,17,37
166,AABB**,AedadC,2,0.48497224065493866,saludHistory,485,12,24
167,AAB***,AedadC,2,0.3871839280483431,saludHistory,485,29,61
168,AA*A**,AedadC,2,-1.3262761345033593,saludHistory,485,208,494
169,AA*B**,AedadC,2,0.21467600831580913,saludHistory,485,21,45
170,AA****,AedadC,2,-1.3587226004390718,saludHistory,485,229,543
171,ABAA**,AedadC,2,-0.8408746878455071,saludHistory,485,20,51
172,ABAB**,AedadC,2,-1.8117869389123922,saludHistory,485,0,4
173,ABA***,AedadC,2,-1.2983228934879207,saludHistory,485,20,55
174,ABBA**,AedadC,2,-0.3949786876433976,saludHistory,485,6,15
175,ABBB**,AedadC,2,-1.4748367293505389,saludHistory,485,5,18
176,ABB***,AedadC,2,-1.3555336886861336,saludHistory,485,11,33
177,AB*A**,AedadC,2,-0.9274688159612875,saludHistory,485,26,66
178,AB*B**,AedadC,2,-2.106588562417178,saludHistory,485,5,22
179,AB****,AedadC,2,-1.8565058370489378,saludHistory,485,31,88
180,A*AA**,AedadC,2,-1.6030601477180024,saludHistory,485,211,508
181,A*AB**,AedadC,2,-0.9118704985330205,saludHistory,485,9,25
182,A*A***,AedadC,2,-1.8749475323021358,saludHistory,485,220,536
183,A*BA**,AedadC,2,-0.1222575580648405,saludHistory,485,23,52
184,A*BB**,AedadC,2,-0.5989027238377815,saludHistory,485,17,42
185,A*B***,AedadC,2,-0.49126027147891504,saludHistory,485,40,94
186,A**A**,AedadC,2,-1.564074265190304,saludHistory,485,234,560
187,A**B**,AedadC,2,-1.0311938879937945,saludHistory,485,26,67
188,A*****,AedadC,2,-1.9537250069091205,saludHistory,485,260,631
189,BAAA**,AedadC,2,0.4525484557844692,saludHistory,485,39,82
190,BAAB**,AedadC,2,0.31304823523824554,saludHistory,485,5,10
191,BAA***,AedadC,2,0.5304550396437059,saludHistory,485,44,92
192,BABA**,AedadC,2,0.1979890881698079,saludHistory,485,2,4
193,BABB**,AedadC,2,-0.11789702367047518,saludHistory,485,3,7
194,BAB***,AedadC,2,0.02534262290906783,saludHistory,485,5,11
195,BA*A**,AedadC,2,0.4845981899428055,saludHistory,485,41,86
196,BA*B**,AedadC,2,0.1644438191662132,saludHistory,485,8,17
197,BA****,AedadC,2,0.5096121029442304,saludHistory,485,49,103
198,BBAA**,AedadC,2,1.0904407234502853,saludHistory,485,87,177
199,BBAB**,AedadC,2,-0.5780015069440934,saludHistory,485,2,6
200,BBA***,AedadC,2,0.9677560730685703,saludHistory,485,89,183
201,BBBA**,AedadC,2,0.646733816505067,saludHistory,485,38,78
202,BBBB**,AedadC,2,2.815473093000063,saludHistory,485,47,77
203,BBB***,AedadC,2,2.443190348393694,saludHistory,485,85,155
204,BB*A**,AedadC,2,1.2661734569172267,saludHistory,485,125,255
205,BB*B**,AedadC,2,2.5563950562659215,saludHistory,485,49,83
206,BB****,AedadC,2,2.36657957107863,saludHistory,485,174,338
207,B*AA**,AedadC,2,1.1560814914778852,saludHistory,485,126,259
208,B*AB**,AedadC,2,-0.10646583043093423,saludHistory,485,7,16
209,B*A***,AedadC,2,1.096265550106476,saludHistory,485,133,275
210,B*BA**,AedadC,2,0.6744910895237989,saludHistory,485,40,82
211,B*BB**,AedadC,2,2.66157632122044,saludHistory,485,50,84
212,B*B***,AedadC,2,2.3673775833773285,saludHistory,485,90,166
213,B**A**,AedadC,2,1.3382919640795508,saludHistory,485,166,341
214,B**B**,AedadC,2,2.396788659806578,saludHistory,485,57,100
215,B*****,AedadC,2,2.3181444766261037,saludHistory,485,223,441
216,*AAA**,AedadC,2,-1.0725672787776763,saludHistory,485,231,540
217,*AAB**,AedadC,2,0.009728649145128183,saludHistory,485,14,31
218,*AA***,AedadC,2,-1.151489386575821,saludHistory,485,245,574
219,*ABA**,AedadC,2,0.16306294054921708,saludHistory,485,19,41
220,*ABB**,AedadC,2,0.37069507949539876,saludHistory,485,15,31
221,*AB***,AedadC,2,0.36628780860288024,saludHistory,485,34,72
222,*A*A**,AedadC,2,-0.9907134440196949,saludHistory,485,250,581
223,*A*B**,AedadC,2,0.26900019824598714,saludHistory,485,29,62
224,*A****,AedadC,2,-0.9980094702703026,saludHistory,485,279,647
225,*BAA**,AedadC,2,0.5019862500311701,saludHistory,485,107,229
226,*BAB**,AedadC,2,-1.5935927144769548,saludHistory,485,2,10
227,*BA***,AedadC,2,0.16540166914970994,saludHistory,485,109,239
228,*BBA**,AedadC,2,0.43365864607066795,saludHistory,485,44,93
229,*BBB**,AedadC,2,1.8927734758004038,saludHistory,485,52,95
230,*BB***,AedadC,2,1.6505007662435676,saludHistory,485,96,188
231,*B*A**,AedadC,2,0.6563891911024186,saludHistory,485,151,322
232,*B*B**,AedadC,2,1.3085933050525864,saludHistory,485,54,105
233,*B****,AedadC,2,1.218912142874015,saludHistory,485,205,427
234,**AA**,AedadC,2,-0.6248557591309009,saludHistory,485,338,769
235,**AB**,AedadC,2,-0.7785599075596757,saludHistory,485,16,41
236,**A***,AedadC,2,-0.877864171985613,saludHistory,485,354,813
237,**BA**,AedadC,2,0.4514718756782611,saludHistory,485,63,134
238,**BB**,AedadC,2,1.827391317328541,saludHistory,485,67,126
239,**B***,AedadC,2,1.5962390601755985,saludHistory,485,130,260
240,***A**,AedadC,2,-0.4027165660875691,saludHistory,485,401,903
241,***B**,AedadC,2,1.2015308752899734,saludHistory,485,83,167
242,******,AedadC,2,0.0,saludHistory,485,485,1076
243,AAAA**,AedadC,3,0.8015354613033043,saludHistory,99,47,457
244,AAAB**,AedadC,3,0.05122103308753442,saludHistory,99,2,21
245,AAA***,AedadC,3,0.7484423075288787,saludHistory,99,49,481
246,AABA**,AedadC,3,0.9076210380153196,saludHistory,99,5,37
247,AABB**,AedadC,3,0.5592024876789781,saludHistory,99,3,24
248,AAB***,AedadC,3,1.0576313306153102,saludHistory,99,8,61
249,AA*A**,AedadC,3,1.0193287773106312,saludHistory,99,52,494
250,AA*B**,AedadC,3,0.44337438256834477,saludHistory,99,5,45
251,AA****,AedadC,3,1.0452443850025082,saludHistory,99,57,543
252,ABAA**,AedadC,3,-0.819898286129372,saludHistory,99,3,51
253,ABAB**,AedadC,3,1.0932362854950417,saludHistory,99,1,4
254,ABA***,AedadC,3,-0.4946971638463444,saludHistory,99,4,55
255,ABBA**,AedadC,3,0.5537520222425555,saludHistory,99,2,15
256,ABBB**,AedadC,3,0.2804145810173651,saludHistory,99,2,18
257,ABB***,AedadC,3,0.5804394304533073,saludHistory,99,4,33
258,AB*A**,AedadC,3,-0.4567399099056858,saludHistory,99,5,66
259,AB*B**,AedadC,3,0.7198020505122469,saludHistory,99,3,22
260,AB****,AedadC,3,-0.035647339644416125,saludHistory,99,8,88
261,A*AA**,AedadC,3,0.5004524842055625,saludHistory,99,50,508
262,A*AB**,AedadC,3,0.48423936645750953,saludHistory,99,3,25
263,A*A***,AedadC,3,0.5505368223296255,saludHistory,99,53,536
264,A*BA**,AedadC,3,1.0630157521248398,saludHistory,99,7,52
265,A*BB**,AedadC,3,0.606291781905125,saludHistory,99,5,42
266,A*B***,AedadC,3,1.1959056465113267,saludHistory,99,12,94
267,A**A**,AedadC,3,0.8005783577150808,saludHistory,99,57,560
268,A**B**,AedadC,3,0.7758268745865693,saludHistory,99,8,67
269,A*****,AedadC,3,0.9563110579933554,saludHistory,99,65,631
270,BAAA**,AedadC,3,0.17398999461803202,saludHistory,99,8,82
271,BAAB**,AedadC,3,-1.0066310341404021,saludHistory,99,0,10
272,BAA***,AedadC,3,-0.1676143555117146,saludHistory,99,8,92
273,BABA**,AedadC,3,1.0932362854950417,saludHistory,99,1,4
274,BABB**,AedadC,3,-0.8422079477339327,saludHistory,99,0,7
275,BAB***,AedadC,3,-0.012603237796913346,saludHistory,99,1,11
276,BA*A**,AedadC,3,0.4056689397203555,saludHistory,99,9,86
277,BA*B**,AedadC,3,-1.3124862917839477,saludHistory,99,0,17
278,BA****,AedadC,3,-0.16253012658399102,saludHistory,99,9,103
279,BBAA**,AedadC,3,-1.3744587674163595,saludHistory,99,11,177
280,BBAB**,AedadC,3,-0.7797330462002653,saludHistory,99,0,6
281,BBA***,AedadC,3,-1.4929263019461967,saludHistory,99,11,183
