,cat,class,classcat,epsilon,feat,nc,ncx,nx
122,BBB***,Apuesto,E,-2.056472884018828,saludHistory,52,2,155
123,BB*A**,Apuesto,E,-0.9704558219014628,saludHistory,52,9,255
124,BB*B**,Apuesto,E,-1.5411833690433323,saludHistory,52,1,83
125,BB****,Apuesto,E,-1.6066437224782004,saludHistory,52,10,338
126,B*AA**,Apuesto,E,-0.7292007855454052,saludHistory,52,10,259
127,B*AB**,Apuesto,E,0.26434931226358566,saludHistory,52,1,16
128,B*A***,Apuesto,E,-0.6439063477054601,saludHistory,52,11,275
129,B*BA**,Apuesto,E,-1.5256669430933003,saludHistory,52,1,82
130,B*BB**,Apuesto,E,-1.5565695605825762,saludHistory,52,1,84
131,B*B***,Apuesto,E,-2.1795624226049393,saludHistory,52,2,166
132,B**A**,Apuesto,E,-1.3836576074628533,saludHistory,52,11,341
133,B**B**,Apuesto,E,-1.320879842261327,saludHistory,52,2,100
134,B*****,Apuesto,E,-1.8456988672018042,saludHistory,52,13,441
135,*AAA**,Apuesto,E,1.3852347094700275,saludHistory,52,33,540
136,*AAB**,Apuesto,E,-0.4171884656613763,saludHistory,52,1,31
137,*AA***,Apuesto,E,1.4130405933091892,saludHistory,52,35,574
138,*ABA**,Apuesto,E,0.013535877557006526,saludHistory,52,2,41
139,*ABB**,Apuesto,E,-1.2546787437427958,saludHistory,52,0,31
140,*AB***,Apuesto,E,-0.8130648102603881,saludHistory,52,2,72
141,*A*A**,Apuesto,E,1.3390597364409034,saludHistory,52,35,581
142,*A*B**,Apuesto,E,-1.1821886410131197,saludHistory,52,1,62
143,*A****,Apuesto,E,1.0508496273802055,saludHistory,52,37,647
144,*BAA**,Apuesto,E,-0.3287550984596051,saludHistory,52,10,229
145,*BAB**,Apuesto,E,-0.7126096406869612,saludHistory,52,0,10
146,*BA***,Apuesto,E,-0.467568715916321,saludHistory,52,10,239
147,*BBA**,Apuesto,E,-0.23906638136320546,saludHistory,52,4,93
148,*BBB**,Apuesto,E,-1.7180019995463758,saludHistory,52,1,95
149,*BB***,Apuesto,E,-1.3893994063671025,saludHistory,52,5,188
150,*B*A**,Apuesto,E,-0.4057230632012163,saludHistory,52,14,322
151,*B*B**,Apuesto,E,-1.854061969715626,saludHistory,52,1,105
152,*B****,Apuesto,E,-1.2717261598666068,saludHistory,52,15,427
153,**AA**,Apuesto,E,0.9813972206254686,saludHistory,52,43,769
154,**AB**,Apuesto,E,-0.7146943350099465,saludHistory,52,1,41
155,**A***,Apuesto,E,0.9338008912270475,saludHistory,52,45,813
156,**BA**,Apuesto,E,-0.19167519407310438,saludHistory,52,6,134
157,**BB**,Apuesto,E,-2.1141048218938487,saludHistory,52,1,126
158,**B***,Apuesto,E,-1.6093239241909543,saludHistory,52,7,260
159,***A**,Apuesto,E,0.8318207052895229,saludHistory,52,49,903
160,***B**,Apuesto,E,-2.1904648592288245,saludHistory,52,2,167
161,******,Apuesto,E,0.0,saludHistory,52,52,1076
162,AAAA**,Apuesto,Vig,-2.2570962516156627,saludHistory,34,6,457
