,cat,class,classcat,epsilon,feat,nc,ncx,nx
148,*BBB**,AedadC,1,-0.9127992347625119,condiHistory,342,50,175
149,*BB***,AedadC,1,-0.42273063798534916,condiHistory,342,106,345
150,*B*A**,AedadC,1,0.44488617810506276,condiHistory,342,140,427
151,*B*B**,AedadC,1,-1.0579737955968715,condiHistory,342,53,188
152,*B****,AedadC,1,-0.18239889046893615,condiHistory,342,194,617
153,**AA**,AedadC,1,-0.28200900429341497,condiHistory,342,196,627
154,**AB**,AedadC,1,-0.2971113096319613,condiHistory,342,10,34
155,**A***,AedadC,1,-0.28033449474389255,condiHistory,342,208,665
156,**BA**,AedadC,1,0.5147239543738689,condiHistory,342,65,194
157,**BB**,AedadC,1,0.04403570837806446,condiHistory,342,68,213
158,**B***,AedadC,1,0.42496316562317177,condiHistory,342,134,409
159,***A**,AedadC,1,0.003761500278213661,condiHistory,342,261,821
160,***B**,AedadC,1,-0.06933987957854944,condiHistory,342,78,247
161,******,AedadC,1,0.0,condiHistory,342,342,1076
162,AAAA**,AedadC,2,-1.4333812481615087,condiHistory,485,119,291
163,AAAB**,AedadC,2,-0.3229984657452064,condiHistory,485,7,17
164,AAA***,AedadC,2,-1.61614851969927,condiHistory,485,126,311
165,AABA**,AedadC,2,-0.006682521659635793,condiHistory,485,9,20
166,AABB**,AedadC,2,-0.06578162504187055,condiHistory,485,12,27
167,AAB***,AedadC,2,-0.0542175061872681,condiHistory,485,21,47
168,AA*A**,AedadC,2,-1.3882206335735194,condiHistory,485,128,311
169,AA*B**,AedadC,2,-0.2522998902947191,condiHistory,485,19,44
170,AA****,AedadC,2,-1.525974161120618,condiHistory,485,147,358
171,ABAA**,AedadC,2,-1.976490641159749,condiHistory,485,6,24
172,ABAB**,AedadC,2,-1.2811268305701695,condiHistory,485,0,2
173,ABA***,AedadC,2,-2.254271436445001,condiHistory,485,6,26
174,ABBA**,AedadC,2,-1.3778297236471215,condiHistory,485,2,9
175,ABBB**,AedadC,2,-0.05371047193455698,condiHistory,485,8,18
176,ABB***,AedadC,2,-0.9954179842836522,condiHistory,485,10,28
177,AB*A**,AedadC,2,-2.4051049880574067,condiHistory,485,8,33
178,AB*B**,AedadC,2,-0.45608210327016147,condiHistory,485,8,20
179,AB****,AedadC,2,-2.280996272346655,condiHistory,485,16,54
180,A*AA**,AedadC,2,-1.9232577847095162,condiHistory,485,125,315
181,A*AB**,AedadC,2,-0.7211783917933341,condiHistory,485,7,19
182,A*A***,AedadC,2,-2.1787026257884565,condiHistory,485,132,337
183,A*BA**,AedadC,2,-0.7731192016277133,condiHistory,485,11,29
184,A*BB**,AedadC,2,-0.08492371275787514,condiHistory,485,20,45
185,A*B***,AedadC,2,-0.6511302491849408,condiHistory,485,31,75
186,A**A**,AedadC,2,-2.0648797353672634,condiHistory,485,136,344
187,A**B**,AedadC,2,-0.4641536642471435,condiHistory,485,27,64
188,A*****,AedadC,2,-2.248256211472268,condiHistory,485,163,412
189,BAAA**,AedadC,2,1.6702969199948203,condiHistory,485,42,77
190,BAAB**,AedadC,2,0.1979890881698079,condiHistory,485,2,4
191,BAA***,AedadC,2,1.5622616244811176,condiHistory,485,44,82
192,BABA**,AedadC,2,-1.398489134215656,condiHistory,485,1,6
193,BABB**,AedadC,2,-1.1865979215423523,condiHistory,485,3,11
194,BAB***,AedadC,2,-1.7853253204794648,condiHistory,485,4,17
195,BA*A**,AedadC,2,1.2327855861197359,condiHistory,485,43,83
196,BA*B**,AedadC,2,-0.9139006264764824,condiHistory,485,5,15
197,BA****,AedadC,2,0.681998140952914,condiHistory,485,48,99
198,BBAA**,AedadC,2,0.4031792998009675,condiHistory,485,109,235
199,BBAB**,AedadC,2,-0.580627649316642,condiHistory,485,4,11
200,BBA***,AedadC,2,0.2712823609693133,condiHistory,485,113,246
201,BBBA**,AedadC,2,0.6904240817816995,condiHistory,485,76,159
202,BBBB**,AedadC,2,2.1225848204702755,condiHistory,485,84,157
203,BBB***,AedadC,2,1.9318681493216097,condiHistory,485,160,317
204,BB*A**,AedadC,2,0.7499729520492041,condiHistory,485,185,394
205,BB*B**,AedadC,2,1.9033462888473116,condiHistory,485,88,168
206,BB****,AedadC,2,1.628938359725259,condiHistory,485,273,563
207,B*AA**,AedadC,2,1.1796864710481574,condiHistory,485,151,312
208,B*AB**,AedadC,2,-0.3949786876433976,condiHistory,485,6,15
209,B*A***,AedadC,2,1.0160682284386031,condiHistory,485,157,328
210,B*BA**,AedadC,2,0.4110732594929615,condiHistory,485,77,165
211,B*BB**,AedadC,2,1.7482887020211686,condiHistory,485,87,168
212,B*B***,AedadC,2,1.4792811565745416,condiHistory,485,164,334
213,B**A**,AedadC,2,1.1958495884149931,condiHistory,485,228,477
214,B**B**,AedadC,2,1.5620237486980653,condiHistory,485,93,183
215,B*****,AedadC,2,1.765944693024321,condiHistory,485,321,662
216,*AAA**,AedadC,2,-0.510592185736341,condiHistory,485,161,368
217,*AAB**,AedadC,2,-0.20420363505841357,condiHistory,485,9,21
218,*AA***,AedadC,2,-0.7240740562902569,condiHistory,485,170,393
219,*ABA**,AedadC,2,-0.6776734087460595,condiHistory,485,10,26
220,*ABB**,AedadC,2,-0.6938715392967381,condiHistory,485,15,38
221,*AB***,AedadC,2,-0.9665976710176936,condiHistory,485,25,64
222,*A*A**,AedadC,2,-0.6675417969682595,condiHistory,485,171,394
223,*A*B**,AedadC,2,-0.6786865161866393,condiHistory,485,24,59
224,*A****,AedadC,2,-1.03318582614477,condiHistory,485,195,457
225,*BAA**,AedadC,2,-0.21761397415129255,condiHistory,485,115,259
226,*BAB**,AedadC,2,-1.0365990410497705,condiHistory,485,4,13
227,*BA***,AedadC,2,-0.4389698643858409,condiHistory,485,119,272
228,*BBA**,AedadC,2,0.3527704205858744,condiHistory,485,78,168
229,*BBB**,AedadC,2,1.9932362672528114,condiHistory,485,92,175
230,*BB***,AedadC,2,1.5682352873116434,condiHistory,485,170,345
231,*B*A**,AedadC,2,0.05179359717217819,condiHistory,485,193,427
232,*B*B**,AedadC,2,1.6505007662435676,condiHistory,485,96,188
233,*B****,AedadC,2,0.8812180059092825,condiHistory,485,289,617
234,**AA**,AedadC,2,-0.5310319025652558,condiHistory,485,276,627
235,**AB**,AedadC,2,-0.8014625559805024,condiHistory,485,13,34
236,**A***,AedadC,2,-0.8373749575696311,condiHistory,485,289,665
237,**BA**,AedadC,2,0.08019286126315384,condiHistory,485,88,194
238,**BB**,AedadC,2,1.5136315981058894,condiHistory,485,107,213
239,**B***,AedadC,2,1.0579589813504446,condiHistory,485,195,409
240,***A**,AedadC,2,-0.42508718432624576,condiHistory,485,364,821
241,***B**,AedadC,2,1.1082449324090298,condiHistory,485,120,247
