,cat,class,classcat,epsilon,feat,nc,ncx,nx
273,BABA**,AedadC,3,1.7731333271916414,estresHistory,99,2,7
274,BABB**,AedadC,3,-0.42762256509110863,estresHistory,99,6,77
275,BAB***,AedadC,3,0.10244206617506885,estresHistory,99,8,84
276,BA*A**,AedadC,3,2.195053491181157,estresHistory,99,5,22
277,BA*B**,AedadC,3,-0.5100238840577966,estresHistory,99,9,115
278,BA****,AedadC,3,0.38374576112397246,estresHistory,99,14,138
279,BBAA**,AedadC,3,1.334609523013222,estresHistory,99,5,31
280,BBAB**,AedadC,3,-1.4010361165313017,estresHistory,99,1,38
281,BBA***,AedadC,3,-0.1821647921112439,estresHistory,99,6,70
282,BBBA**,AedadC,3,-0.07609826386488679,estresHistory,99,3,34
283,BBBB**,AedadC,3,3.418909563777337,estresHistory,99,47,319
284,BBB***,AedadC,3,3.1197441070604137,estresHistory,99,50,358
285,BB*A**,AedadC,3,0.8666388799246385,estresHistory,99,8,65
286,BB*B**,AedadC,3,2.7747369398234554,estresHistory,99,48,357
287,BB****,AedadC,3,2.7795718039257813,estresHistory,99,56,428
288,B*AA**,AedadC,3,1.9219405479445497,estresHistory,99,8,46
289,B*AB**,AedadC,3,-1.1876383047545382,estresHistory,99,4,76
290,B*A***,AedadC,3,0.2130933535818849,estresHistory,99,12,123
291,B*BA**,AedadC,3,0.6633550047960866,estresHistory,99,5,41
292,B*BB**,AedadC,3,2.880001416566449,estresHistory,99,53,396
293,B*B***,AedadC,3,2.8523500485594173,estresHistory,99,58,442
294,B**A**,AedadC,3,1.8529084553090447,estresHistory,99,13,87
295,B**B**,AedadC,3,2.161403974833677,estresHistory,99,57,472
296,B*****,AedadC,3,2.6065680504885402,estresHistory,99,70,566
297,*AAA**,AedadC,3,1.3195753108475117,estresHistory,99,15,118
298,*AAB**,AedadC,3,-2.33187798699206,estresHistory,99,6,157
299,*AA***,AedadC,3,-0.8975444271063346,estresHistory,99,21,275
300,*ABA**,AedadC,3,0.9936327928598523,estresHistory,99,3,19
301,*ABB**,AedadC,3,-1.6334236265631803,estresHistory,99,16,256
302,*AB***,AedadC,3,-1.314808546167219,estresHistory,99,19,275
303,*A*A**,AedadC,3,1.5618069279410745,estresHistory,99,18,138
304,*A*B**,AedadC,3,-2.723749239874284,estresHistory,99,22,413
305,*A****,AedadC,3,-1.5886308113862597,estresHistory,99,40,552
306,*BAA**,AedadC,3,1.1105935030716088,estresHistory,99,5,34
307,*BAB**,AedadC,3,-1.7340197385478082,estresHistory,99,1,49
308,*BA***,AedadC,3,-0.6832192495121184,estresHistory,99,6,85
309,*BBA**,AedadC,3,-0.12880995979529827,estresHistory,99,3,35
310,*BBB**,AedadC,3,2.3774213770810926,estresHistory,99,50,395
311,*BB***,AedadC,3,2.152629216278043,estresHistory,99,53,435
312,*B*A**,AedadC,3,0.6878567497968086,estresHistory,99,8,69
313,*B*B**,AedadC,3,1.6663501854320937,estresHistory,99,51,444
314,*B****,AedadC,3,1.6770486406054381,estresHistory,99,59,521
315,**AA**,AedadC,3,1.6879199080771743,estresHistory,99,20,152
316,**AB**,AedadC,3,-2.8814428872672173,estresHistory,99,7,206
317,**A***,AedadC,3,-1.116445328773901,estresHistory,99,27,360
318,**BA**,AedadC,3,0.48569230150521553,estresHistory,99,6,54
319,**BB**,AedadC,3,0.8275831561186137,estresHistory,99,66,651
320,**B***,AedadC,3,0.8666651780122349,estresHistory,99,72,710
321,***A**,AedadC,3,1.6723442963922113,estresHistory,99,26,207
322,***B**,AedadC,3,-0.6914176223411784,estresHistory,99,73,857
323,******,AedadC,3,0.0,estresHistory,99,99,1076
