,cat,class,classcat,epsilon,feat,nc,ncx,nx
121,BBBB**,Apuesto,E,-1.4140753489175202,estresHistory,52,10,319
122,BBB***,Apuesto,E,-1.0599861404833364,estresHistory,52,13,358
123,BB*A**,Apuesto,E,-0.6600700664350341,estresHistory,52,2,65
124,BB*B**,Apuesto,E,-1.543121863686832,estresHistory,52,11,357
125,BB****,Apuesto,E,-1.5065243101074228,estresHistory,52,14,428
126,B*AA**,Apuesto,E,-0.8408631556751113,estresHistory,52,1,46
127,B*AB**,Apuesto,E,-0.8947754479346876,estresHistory,52,2,76
128,B*A***,Apuesto,E,-1.2378869001188795,estresHistory,52,3,123
129,B*BA**,Apuesto,E,0.7417660901239594,estresHistory,52,3,41
130,B*BB**,Apuesto,E,-0.5008741205771642,estresHistory,52,17,396
131,B*B***,Apuesto,E,-0.07997770557126666,estresHistory,52,21,442
132,B**A**,Apuesto,E,-0.10221424012422795,estresHistory,52,4,87
133,B**B**,Apuesto,E,-0.8178265534654217,estresHistory,52,19,472
134,B*****,Apuesto,E,-0.46121543784882607,estresHistory,52,25,566
135,*AAA**,Apuesto,E,-1.160116886574363,estresHistory,52,3,118
136,*AAB**,Apuesto,E,0.15356119877345584,estresHistory,52,8,157
137,*AA***,Apuesto,E,-0.6439063477054601,estresHistory,52,11,275
138,*ABA**,Apuesto,E,0.08748915490916932,estresHistory,52,1,19
139,*ABB**,Apuesto,E,1.3488315318367385,estresHistory,52,17,256
140,*AB***,Apuesto,E,1.3243982833487302,estresHistory,52,18,275
141,*A*A**,Apuesto,E,-1.059481169433181,estresHistory,52,4,138
142,*A*B**,Apuesto,E,1.1566261444373036,estresHistory,52,25,413
143,*A****,Apuesto,E,0.6595934299953085,estresHistory,52,30,552
144,*BAA**,Apuesto,E,-1.31398725260179,estresHistory,52,0,34
145,*BAB**,Apuesto,E,-0.9112931795128766,estresHistory,52,1,49
146,*BA***,Apuesto,E,-1.5718284882200382,estresHistory,52,1,85
147,*BBA**,Apuesto,E,0.24319375104934438,estresHistory,52,2,35
148,*BBB**,Apuesto,E,-0.2555508993750033,estresHistory,52,18,395
149,*BB***,Apuesto,E,-0.004986719764064202,estresHistory,52,21,435
150,*B*A**,Apuesto,E,-0.7491663194456558,estresHistory,52,2,69
151,*B*B**,Apuesto,E,-0.5437738462681969,estresHistory,52,19,444
152,*B****,Apuesto,E,-0.6493152370143849,estresHistory,52,22,521
153,**AA**,Apuesto,E,-1.6436186419011745,estresHistory,52,3,152
154,**AB**,Apuesto,E,-0.3103900953570251,estresHistory,52,9,206
155,**A***,Apuesto,E,-1.3265502542018819,estresHistory,52,12,360
156,**BA**,Apuesto,E,0.24768560121913014,estresHistory,52,3,54
157,**BB**,Apuesto,E,0.6467773391094049,estresHistory,52,35,651
158,**B***,Apuesto,E,0.820340689488816,estresHistory,52,39,710
159,***A**,Apuesto,E,-1.2975941285992516,estresHistory,52,6,207
160,***B**,Apuesto,E,0.41153116990244365,estresHistory,52,44,857
161,******,Apuesto,E,0.0,estresHistory,52,52,1076
162,AAAA**,Apuesto,Vig,-0.7067109787674785,estresHistory,34,2,103
